faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2021,85,18,769,121,890,5,5,10,"459,86273",30.5,25.1,16.3,15.6,30.9,10.0,11.1,12.0,,,,,,,,49,8,13,13,14,2,4
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2022,88,15,827,140,967,7,5,10,"524,01624",34.0,38.3,17.4,16.7,39.3,12.2,11.9,11.9,,,,,,,,45,19,14,7,10,4,4
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2023,96,17,771,128,899,8,4,8,"527,29304",34.4,37.4,19.1,16.2,38.4,13.4,12.3,11.5,,,,,,,,45,10,17,9,18,3,11
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2021,34,38,105,143,248,0,1,4,"363,88031",26.0,16.8,13.5,12.3,19.2,5.7,9.4,10.3,,,,,,,,44,6,6,6,8,1,1
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2022,31,41,191,243,434,0,3,4,"430,24605",29.4,30.2,13.3,13.1,31.2,7.0,8.4,7.6,,,,,,,,41,6,6,9,5,1,4
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2023,33,39,208,271,479,2,4,2,"435,17454",30.1,27.5,15.8,12.9,27.3,10.8,8.7,8.1,,,,,,,,53,1,4,6,3,1,4
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2021,109,25,835,112,947,7,6,18,"390,12780",28.1,18.8,14.1,13.4,21.9,6.7,10.3,10.6,,,,,,,,70,16,17,10,8,7,6
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2022,108,26,758,132,890,8,7,18,"462,07905",30.4,32.5,14.4,14.0,35.0,9.6,9.6,8.9,,,,,,,,93,12,10,6,10,1,2
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2023,108,26,720,137,857,9,16,14,"477,74322",31.8,32.6,16.7,14.3,33.1,12.2,10.7,9.3,,,,,,,,98,12,9,6,5,3,1
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2021,92,21,712,102,814,7,7,9,"423,51815",29.4,21.7,15.6,14.4,26.1,8.6,10.9,11.5,,,,,,,,62,10,8,14,18,1,0
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2022,96,17,688,109,797,9,9,5,"497,21067",31.5,36.6,16.2,15.0,37.8,11.2,10.8,10.4,,,,,,,,57,11,19,13,10,1,2
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2023,92,21,635,107,742,13,7,8,"507,10034",33.1,35.4,17.7,15.6,36.1,12.9,11.8,10.7,,,,,,,,66,9,7,10,13,3,5
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2021,48,24,414,60,474,1,3,6,"402,59571",28.9,19.2,14.5,13.9,23.1,7.3,10.3,10.9,,,,,,,,38,9,6,9,5,2,3
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2022,62,10,450,79,529,2,2,6,"478,91417",31.1,34.3,15.7,14.3,36.4,10.0,10.1,9.3,,,,,,,,42,10,6,5,6,2,1
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2023,54,18,417,88,505,2,5,7,"495,74667",31.6,34.3,17.4,15.2,35.2,12.4,11.0,10.0,,,,,,,,50,7,5,3,5,1,1
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,311,61,372,1,3,6,"411,82375",29.6,19.6,15.5,14.1,24.4,7.3,10.4,11.8,,,,,,,,33,6,4,0,7,0,2
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2022,41,11,361,80,441,2,2,6,"488,61562",32.7,35.7,15.1,15.1,37.3,10.5,10.5,9.5,,,,,,,,36,7,6,2,1,0,0
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2023,43,9,360,86,446,2,5,7,"501,99406",33.6,34.9,17.7,14.9,35.6,12.6,11.2,10.2,,,,,,,,34,8,1,2,5,2,0
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,178,99,277,1,1,4,"276,47105",23.6,11.1,9.1,10.9,11.1,2.8,5.9,6.7,,,,,,,,27,2,5,1,3,1,2
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2022,29,12,186,88,274,1,0,3,"347,21119",26.7,24.8,9.0,10.2,21.6,4.4,5.2,5.3,,,,,,,,33,0,3,2,1,1,1
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2023,24,17,175,87,262,1,2,1,"371,38591",28.4,23.3,12.6,12.3,21.0,8.1,6.2,5.3,,,,,,,,28,1,3,6,0,0,3
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,50,210,260,5,1,3,"300,08087",24.9,12.1,10.3,9.5,12.4,2.8,7.8,8.6,,,,,,,,53,0,4,3,1,0,1
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2022,13,49,58,215,273,5,3,1,"352,41279",26.9,20.0,11.1,11.3,20.4,4.1,6.9,6.6,,,,,,,,54,0,1,1,4,1,1
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2023,12,50,65,211,276,6,2,0,"361,20240",28.0,21.1,11.9,11.7,18.8,6.0,6.1,6.2,,,,,,,,53,1,2,2,0,2,2
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,92,225,317,1,1,3,"373,52762",27.5,16.7,13.7,11.9,20.4,5.1,9.9,10.7,,,,,,,,31,2,10,3,4,4,8
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2022,15,47,96,248,344,1,3,1,"437,16823",28.5,29.1,13.2,12.4,32.5,7.9,9.0,8.1,,,,,,,,30,0,5,7,9,4,7
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2023,15,47,86,232,318,1,3,1,"428,86933",29.8,27.3,13.8,12.6,28.0,10.2,8.4,7.8,,,,,,,,28,6,9,3,4,4,8
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,112,191,303,0,2,2,"423,06777",30.2,8.8,4.6,14.1,,,,,,,,,,,,35,5,6,4,6,4,2
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2022,20,42,119,202,321,1,1,2,"457,20061",31.6,17.2,6.1,13.2,,,,,,,,,,,,44,3,4,0,5,2,3
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2023,18,44,112,197,309,1,3,3,"459,43422",32.1,16.5,7.5,14.7,,,,,,,,,,,,41,1,4,5,6,2,3
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,43,258,301,0,2,1,"369,81961",28.4,4.8,1.3,15.2,,,,,18.1,4.7,8.7,3.8,7.6,5.9,5.6,39,2,3,3,2,5,8
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2022,10,52,48,280,328,1,1,1,"415,08841",29.5,8.1,2.2,15.7,,,,,19.1,4.9,9.5,4.7,7.0,6.4,8.7,40,3,1,5,3,3,7
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2023,9,53,45,257,302,1,3,1,"416,60906",31.3,7.4,2.0,15.7,,,,,18.8,4.0,7.7,4.8,7.5,7.2,9.1,43,3,1,2,2,2,9
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,86,269,355,3,0,1,"336,12441",28.3,12.7,3.0,13.8,12.0,,,,17.0,4.5,,,,4.6,,40,3,6,10,6,3,4
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2022,15,57,93,282,375,8,5,7,"384,62513",29.2,20.0,4.0,14.2,18.8,,,,17.4,4.6,,,,4.8,,49,3,6,6,7,1,0
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2023,15,57,87,298,385,4,2,2,"385,29609",30.2,20.7,3.1,14.2,18.5,,,,17.7,3.5,,,,4.9,,54,1,5,6,3,0,3
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,210,275,1,2,2,"331,41204",25.9,12.4,2.8,14.1,12.0,,,,17.4,4.1,,,,5.2,,35,2,4,2,1,7,11
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2022,11,51,65,228,293,1,0,2,"385,64321",28.1,19.9,3.8,14.2,19.9,,,,17.2,4.2,,,,4.4,,36,0,1,6,4,7,8
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2023,18,44,66,221,287,2,2,2,"385,68066",29.5,19.7,2.9,13.8,18.8,,,,18.0,3.5,,,,5.4,,40,0,1,5,1,10,5
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,86,163,249,3,2,1,"340,32209",25.5,3.5,1.2,13.8,,,,,15.8,4.5,7.8,3.7,6.6,5.4,4.6,43,0,2,4,2,1,0
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2022,25,27,95,165,260,3,2,1,"384,55109",27.4,8.1,2.0,14.4,,,,,15.7,4.7,8.5,4.1,6.8,5.5,7.6,41,1,2,3,1,3,1
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2023,23,29,99,150,249,5,2,1,"385,85695",27.8,7.7,1.1,14.7,,,,,16.3,3.6,6.9,4.4,6.2,6.2,8.6,46,0,0,2,1,2,1
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,104,168,272,3,2,3,"371,84068",28.5,4.7,2.1,15.7,,,,,18.4,4.8,8.9,4.2,7.4,6.2,6.6,45,1,2,7,4,0,3
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2022,21,41,118,183,301,3,5,0,"410,98162",30.7,7.7,1.6,15.8,,,,,18.9,5.0,9.3,4.8,7.5,5.7,8.4,47,0,4,4,3,2,2
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2023,25,37,119,184,303,4,3,4,"414,54799",31.2,8.8,1.9,15.6,,,,,19.1,4.1,7.4,4.9,7.6,6.9,8.8,48,3,1,3,2,2,3
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,306,182,488,17,13,8,"271,41914",23.8,11.8,8.5,10.1,10.4,3.5,4.8,6.3,,,,,,,,58,9,3,6,1,3,1
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2022,42,40,272,185,457,19,10,9,"343,06152",26.3,24.3,11.3,10.4,22.2,5.4,5.7,5.2,,,,,,,,66,0,1,3,2,6,3
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2023,45,37,278,188,466,25,13,9,"375,23418",28.4,23.1,13.6,12.2,21.8,9.2,6.7,6.1,,,,,,,,59,9,5,1,6,0,2
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,14,37,51,2,2,1,"388,76072",28.0,5.6,3.1,11.3,,,,,,,,,,,,36,6,2,3,4,1,0
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2022,15,37,50,90,140,2,3,2,"433,33719",31.0,13.6,4.6,13.2,,,,,,,,,,,,41,4,1,0,2,3,1
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2023,11,43,46,123,169,1,3,5,"448,15957",31.1,16.6,6.3,13.8,,,,,,,,,,,,42,3,4,1,3,1,0
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,249,205,454,5,3,7,"310,74460",25.5,12.8,11.2,11.1,14.3,3.7,7.6,8.4,,,,,,,,59,3,8,8,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2022,42,40,278,212,490,5,4,5,"406,24208",28.9,27.9,12.4,12.2,29.7,6.0,8.3,6.6,,,,,,,,55,8,10,5,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2023,58,25,311,215,526,5,6,4,"439,59054",29.9,29.5,15.2,13.4,28.8,11.2,9.3,7.9,,,,,,,,60,3,7,5,5,2,1
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,144,495,639,28,12,5,"310,79958",25.8,12.6,11.3,10.9,12.9,3.2,8.6,8.6,,,,,,,,93,5,2,1,2,0,0
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2022,22,81,131,485,616,32,10,3,"391,70909",28.6,24.3,12.1,12.0,25.5,5.4,8.0,6.7,,,,,,,,89,3,3,6,0,0,2
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2023,21,82,125,469,594,40,9,8,"414,37146",30.1,25.3,14.4,12.7,23.9,9.4,8.5,7.5,,,,,,,,84,5,6,2,4,1,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,69,149,218,28,12,5,"343,29233",26.9,15.7,12.9,12.0,17.1,3.8,9.4,9.6,,,,,,,,37,3,5,2,3,1,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2022,13,39,81,181,262,32,10,3,"420,75938",30.1,27.7,13.5,12.5,29.6,6.9,9.1,7.5,,,,,,,,38,3,5,2,3,0,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2023,12,40,79,207,286,40,9,8,"434,60637",30.4,28.9,14.3,13.3,26.8,10.4,9.3,8.4,,,,,,,,38,3,6,1,1,2,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,190,235,425,11,10,18,"342,29089",25.7,16.8,11.8,11.5,18.9,4.2,8.8,8.9,,,,,,,,56,7,4,7,3,1,4
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2022,49,33,232,193,425,11,10,14,"419,60663",29.1,29.9,13.3,12.5,32.7,6.9,7.9,6.5,,,,,,,,57,3,10,6,5,0,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2023,47,35,254,198,452,17,8,11,"436,81543",29.9,30.3,14.9,12.7,30.6,10.3,8.6,7.2,,,,,,,,57,4,8,3,5,4,1
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,124,254,378,5,3,5,"380,79571",29.9,17.9,14.3,13.2,20.4,5.4,10.0,11.0,,,,,,,,33,9,11,12,9,5,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2022,21,61,130,326,456,7,2,5,"450,03917",30.3,31.4,14.5,13.4,33.2,7.7,9.2,9.0,,,,,,,,38,11,14,8,6,2,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2023,32,51,135,323,458,7,6,3,"451,55708",31.4,29.4,16.3,14.0,28.8,11.2,9.1,8.8,,,,,,,,47,10,7,5,7,4,3
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,75,230,305,4,1,6,"323,21204",25.6,3.6,1.3,13.1,,,,,15.5,4.0,7.1,3.1,6.0,4.2,3.4,59,4,3,3,1,1,1
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2022,15,57,80,235,315,5,2,6,"375,58650",27.8,6.1,1.6,13.9,,,,,16.4,4.4,8.3,3.9,5.9,4.9,6.3,62,1,2,3,4,0,0
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2023,18,56,84,255,339,4,3,9,"378,20479",28.6,7.7,0.9,14.1,,,,,15.6,3.3,6.2,4.2,6.7,5.2,7.9,64,3,2,3,2,0,0
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,546,52,598,10,3,9,"384,24844",27.2,18.2,14.0,13.6,21.6,6.8,10.0,10.8,,,,,,,,39,4,23,5,7,3,1
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2022,73,9,554,68,622,11,3,7,"456,77282",29.8,31.6,14.8,13.9,34.3,9.2,9.5,8.6,,,,,,,,43,6,13,8,6,3,3
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2023,68,14,523,72,595,10,7,5,"470,53124",30.6,32.4,16.6,13.9,32.7,12.2,10.1,9.1,,,,,,,,52,10,5,6,4,1,4
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,434,19,453,4,4,9,"351,49049",26.2,15.6,12.9,11.8,17.3,5.3,9.4,9.5,,,,,,,,37,9,12,3,5,3,3
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2022,61,11,471,34,505,4,6,7,"429,97242",28.0,29.2,13.4,12.6,30.8,8.0,8.7,7.6,,,,,,,,28,8,19,7,7,1,2
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2023,62,10,416,39,455,5,6,6,"445,32388",29.3,28.8,15.3,13.5,29.3,11.1,9.4,7.9,,,,,,,,34,11,8,8,5,1,5
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,84,319,403,6,2,5,"351,38010",27.6,15.7,13.0,12.0,16.0,4.4,9.5,10.3,,,,,,,,52,5,5,1,6,0,3
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2022,14,58,109,367,476,6,5,5,"425,81540",29.5,27.1,13.3,12.4,29.3,7.2,8.9,7.9,,,,,,,,50,4,5,8,4,0,1
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2023,18,54,106,341,447,11,7,2,"437,60445",30.6,27.1,15.0,12.9,27.9,10.6,8.8,7.8,,,,,,,,51,3,3,4,6,4,1
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,111,307,418,6,2,5,"364,66632",28.9,16.6,13.8,13.2,18.1,4.9,9.7,10.4,,,,,,,,37,9,4,2,10,0,0
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2022,12,50,118,350,468,6,5,5,"438,49980",31.3,29.9,14.1,13.5,30.8,7.3,9.0,8.4,,,,,,,,39,5,6,6,3,2,1
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2023,14,48,113,333,446,11,7,2,"448,85903",31.4,28.9,15.7,13.8,28.9,10.6,9.7,8.5,,,,,,,,46,5,5,2,4,0,0
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,63,323,386,4,4,3,"332,56982",27.2,15.2,11.9,11.5,15.7,3.5,8.6,9.0,,,,,,,,53,8,2,4,3,2,0
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2022,12,60,73,338,411,3,6,2,"406,61907",29.9,26.0,12.0,12.1,27.3,5.9,8.3,7.2,,,,,,,,54,1,4,5,7,0,1
