year,faculty_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2021,Elektrik-Elektronik Fakültesi,546,8745,546,,,,,,
2022,Elektrik-Elektronik Fakültesi,546,11327,546,0.0,2582.0,0.0,0.0,29.52544311034877,0.0
2023,Elektrik-Elektronik Fakültesi,556,11099,556,10.0,-228.0,10.0,1.831501831501825,-2.01288955592831,1.831501831501825
2024,Elektrik-Elektronik Fakültesi,571,12349,571,15.0,1250.0,15.0,2.6978417266187105,11.262275880709982,2.6978417266187105
2021,Eğitim Fakültesi,537,8484,537,,,,,,
2022,Eğitim Fakültesi,537,9381,537,0.0,897.0,0.0,0.0,10.572842998585564,0.0
2023,Eğitim Fakültesi,537,8627,537,0.0,-754.0,0.0,0.0,-8.037522652169283,0.0
2024,Eğitim Fakültesi,367,7865,367,-170.0,-762.0,-170.0,-31.65735567970205,-8.8327344383911,-31.65735567970205
2021,Fen-Edebiyat Fakültesi,607,9417,607,,,,,,
2022,Fen-Edebiyat Fakültesi,607,13410,607,0.0,3993.0,0.0,0.0,42.402038865880854,0.0
2023,Fen-Edebiyat Fakültesi,624,11845,613,17.0,-1565.0,6.0,2.8006589785831926,-11.67039522744221,0.9884678747940745
2024,Fen-Edebiyat Fakültesi,515,10166,515,-109.0,-1679.0,-98.0,-17.467948717948723,-14.174757281553397,-15.986949429037523
2021,Gemi İnşaatı ve Denizcilik Fakültesi,154,1744,154,,,,,,
2022,Gemi İnşaatı ve Denizcilik Fakültesi,154,2385,154,0.0,641.0,0.0,0.0,36.75458715596329,0.0
2023,Gemi İnşaatı ve Denizcilik Fakültesi,154,2565,154,0.0,180.0,0.0,0.0,7.547169811320753,0.0
2024,Gemi İnşaatı ve Denizcilik Fakültesi,165,3299,165,11.0,734.0,11.0,7.14285714285714,28.615984405458093,7.14285714285714
2021,Kimya-Metalurji Fakültesi,691,9390,690,,,,,,
2022,Kimya-Metalurji Fakültesi,691,13194,691,0.0,3804.0,1.0,0.0,40.51118210862621,0.14492753623187582
2023,Kimya-Metalurji Fakültesi,691,14117,691,0.0,923.0,0.0,0.0,6.995604062452632,0.0
2024,Kimya-Metalurji Fakültesi,630,14192,630,-61.0,75.0,-61.0,-8.827785817655576,0.5312743500743844,-8.827785817655576
2021,Makine Fakültesi,465,7041,464,,,,,,
2022,Makine Fakültesi,465,8899,465,0.0,1858.0,1.0,0.0,26.388297116886818,0.21551724137931494
2023,Makine Fakültesi,466,10268,466,1.0,1369.0,1.0,0.21505376344086446,15.38375098325655,0.21505376344086446
2024,Makine Fakültesi,491,10095,491,25.0,-173.0,25.0,5.364806866952798,-1.6848461238800128,5.364806866952798
2021,Mimarlık Fakültesi,329,3738,329,,,,,,
2022,Mimarlık Fakültesi,329,5786,329,0.0,2048.0,0.0,0.0,54.788657035848054,0.0
2023,Mimarlık Fakültesi,333,4893,330,4.0,-893.0,1.0,1.2158054711246091,-15.433805737988248,0.3039513677811634
2024,Mimarlık Fakültesi,275,4752,274,-58.0,-141.0,-56.0,-17.417417417417415,-2.8816676885346393,-16.96969696969697
2021,Sanat ve Tasarım Fakültesi,165,1581,165,,,,,,
2022,Sanat ve Tasarım Fakültesi,165,2954,165,0.0,1373.0,0.0,0.0,86.8437697659709,0.0
2023,Sanat ve Tasarım Fakültesi,170,2294,170,5.0,-660.0,5.0,3.0303030303030276,-22.34258632362898,3.0303030303030276
2024,Sanat ve Tasarım Fakültesi,175,2353,175,5.0,59.0,5.0,2.941176470588225,2.571926765475152,2.941176470588225
2021,İktisadi ve İdari Bilimler Fakültesi,279,6410,279,,,,,,
2022,İktisadi ve İdari Bilimler Fakültesi,279,8240,279,0.0,1830.0,0.0,0.0,28.549141965678636,0.0
2023,İktisadi ve İdari Bilimler Fakültesi,394,12295,390,115.0,4055.0,111.0,41.21863799283154,49.211165048543684,39.78494623655915
2024,İktisadi ve İdari Bilimler Fakültesi,418,12870,418,24.0,575.0,28.0,6.091370558375631,4.6766978446523,7.179487179487176
2021,İnşaat Fakültesi,361,3695,361,,,,,,
2022,İnşaat Fakültesi,361,5179,361,0.0,1484.0,0.0,0.0,40.16238159675236,0.0
2023,İnşaat Fakültesi,361,4930,361,0.0,-249.0,0.0,0.0,-4.807877968719831,0.0
2024,İnşaat Fakültesi,268,5399,268,-93.0,469.0,-93.0,-25.761772853185594,9.513184584178491,-25.761772853185594