Faculty Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Faculty of Architecture,2021,784,1232,0.0,0.0,0.0,329,5439,329,37,57,55,,,,,,,,,,,,,327.0395825,167224.5,61.825,35.95,0.0,,,,,,,,,,
Faculty of Architecture,2022,812,1501,269.0,3.571428571428581,21.834415584415588,329,5786,329,33,54,57,0.0,0.0,347.0,6.379849236992086,0.0,0.0,-4.0,-10.81081081081081,-3.0,-5.263157894736848,2.0,3.6363636363636376,331.15579333333335,59165.333333333336,47.5,45.03333333333333,0.0,,,,,,,,,,
Faculty of Architecture,2023,746,1493,-8.0,-8.128078817733986,-0.532978014656893,333,4893,330,41,44,57,4.0,1.2158054711246091,-893.0,-15.433805737988248,1.0,0.3039513677811634,8.0,24.242424242424242,-10.0,-18.518518518518523,0.0,0.0,333.91437625,106575.25,59.45,32.887499999999996,8.4875,,,,,,,,,,
Faculty of Architecture,2024,746,1493,0.0,0.0,0.0,275,4752,274,41,44,57,-58.0,-17.417417417417415,-141.0,-2.8816676885346393,-56.0,-16.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,339.428692,58944.4,65.66,41.54,0.0,,,,,,,,,,
Faculty of Art and Design,2021,148,160,0.0,0.0,0.0,165,1581,165,4,16,12,,,,,,,,,,,,,325.1715025,128833.25,62.0,35.875,0.0,,,,,,,,,,
Faculty of Art and Design,2022,262,407,247.0,77.02702702702702,154.37500000000003,165,2954,165,12,20,9,0.0,0.0,1373.0,86.8437697659709,0.0,0.0,8.0,200.0,4.0,25.0,-3.0,-25.0,330.97827,85429.75,57.675,36.825,0.0,,,,,,,,,,
Faculty of Art and Design,2023,326,522,115.0,24.427480916030532,28.25552825552826,170,2294,170,13,16,21,5.0,3.0303030303030276,-660.0,-22.34258632362898,5.0,3.0303030303030276,1.0,8.333333333333325,-4.0,-19.999999999999996,12.0,133.33333333333334,346.96290444444446,72996.11111111111,55.18888888888889,37.81111111111111,8.144444444444444,,,,,,,,,,
Faculty of Art and Design,2024,326,522,0.0,0.0,0.0,175,2353,175,13,16,21,5.0,2.941176470588225,59.0,2.571926765475152,5.0,2.941176470588225,0.0,0.0,0.0,0.0,0.0,0.0,408.6347416666667,39776.0,77.81666666666666,53.449999999999996,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2021,1171,1787,0.0,0.0,0.0,607,9417,607,100,55,56,,,,,,,,,,,,,349.66214833333333,24480.0,65.89999999999999,46.583333333333336,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2022,1254,1907,120.0,7.087959009393674,6.715165081141583,607,13410,607,113,47,51,0.0,0.0,3993.0,42.402038865880854,0.0,0.0,13.0,12.99999999999999,-8.0,-14.54545454545455,-5.0,-8.92857142857143,367.869465,73606.0,69.75,45.35,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2023,1312,1978,71.0,4.6251993620414655,3.723125327739907,624,11845,613,139,57,57,17.0,2.8006589785831926,-1565.0,-11.67039522744221,6.0,0.9884678747940745,26.0,23.008849557522115,10.0,21.27659574468086,6.0,11.764705882352944,387.97223,158036.5,75.4,44.675,0.0,60.93264750000003,-9188.0,13.575000000000003,8.724999999999994,0.0,18.631581851410917,-5.4944102090303755,21.957137080469067,24.26981919332405,
Faculty of Arts and Sciences,2024,1312,1978,0.0,0.0,0.0,515,10166,515,139,57,57,-109.0,-17.467948717948723,-1679.0,-14.174757281553397,-98.0,-15.986949429037523,0.0,0.0,0.0,0.0,0.0,0.0,385.47527666666673,47077.0,55.1,51.9,0.0,54.31948333333338,-12088.333333333336,7.600000000000001,6.866666666666667,0.0,16.40299956300528,-20.431446342452787,15.999999999999993,15.247964470762398,
Faculty of Chemical and Metallurgical Engineering,2021,1807,2491,0.0,0.0,0.0,691,10947,690,80,77,46,,,,,,,,,,,,,405.042695,86964.625,75.08749999999999,43.875,9.0,71.12831875,-19610.625,15.637499999999989,10.987500000000004,0.5124999999999993,21.301364603944627,-18.400730938937514,26.303616484440685,33.40935005701255,6.038291605301915
Faculty of Chemical and Metallurgical Engineering,2022,1896,2637,146.0,4.92529053680133,5.861099959855487,691,14463,691,75,66,62,0.0,0.0,3516.0,32.11838859961633,1.0,0.14492753623187582,-5.0,-6.25,-11.0,-14.28571428571429,16.0,34.78260869565217,454.31184599999995,54074.2,89.09,60.39,0.0,114.88315399999993,-4870.200000000004,23.430000000000007,18.85,0.0,33.84603503112223,-8.262362497540066,35.68382576911362,45.37794896485317,
Faculty of Chemical and Metallurgical Engineering,2023,1924,2508,-129.0,1.4767932489451407,-4.891922639362911,691,14117,691,113,67,69,0.0,0.0,-346.0,-2.3923114153356795,0.0,0.0,38.0,50.66666666666666,1.0,1.5151515151515138,7.0,11.290322580645151,394.63574,116515.5,78.45,46.05,0.0,69.46423750000002,-12317.75,16.450000000000003,10.174999999999997,0.0,21.36233863236525,-9.561002303365008,26.532258064516135,28.36236933797909,
Faculty of Chemical and Metallurgical Engineering,2024,1924,2508,0.0,0.0,0.0,630,14192,630,113,67,69,-61.0,-8.827785817655576,75.0,0.5312743500743844,-61.0,-8.827785817655576,0.0,0.0,0.0,0.0,0.0,0.0,399.0257025,66646.0,72.7,47.625,0.0,68.04743250000001,-18783.75,15.025000000000006,10.799999999999997,0.0,20.55948642791565,-21.987363886702227,26.05114867793672,29.327902240325866,
Faculty of Civil Engineering,2021,1835,639,0.0,0.0,0.0,361,3695,361,56,60,48,,,,,,,,,,,,,397.2091422222222,74214.88888888889,65.32222222222222,44.01111111111111,8.31111111111111,50.246237777777765,1218.777777777781,10.133333333333333,6.200000000000003,0.16666666666666607,14.481731947175103,1.6696475459118787,18.361183813166893,16.397296503085524,2.04638472032741
Faculty of Civil Engineering,2022,1705,709,70.0,-7.0844686648501405,10.954616588419409,361,5179,361,70,54,45,0.0,0.0,1484.0,40.16238159675236,0.0,0.0,14.0,25.0,-6.0,-9.999999999999998,-3.0,-6.25,480.1803,33847.833333333336,96.16666666666667,66.06666666666666,0.0,71.5455583333333,-5928.166666666664,18.35000000000001,12.616666666666667,0.0,17.50843749641209,-14.903878385626168,23.58106660955237,23.604614904895538,
Faculty of Civil Engineering,2023,1567,693,-16.0,-8.093841642228739,-2.256699576868826,361,4930,361,85,58,45,0.0,0.0,-249.0,-4.807877968719831,0.0,0.0,15.0,21.42857142857142,4.0,7.407407407407418,0.0,0.0,482.4276466666667,31675.833333333332,97.35000000000001,65.23333333333333,0.0,132.76549833333337,7195.833333333332,31.450000000000017,18.65,0.0,37.96965126656142,29.394744008714603,47.72382397572081,40.035778175313055,
Faculty of Civil Engineering,2024,1567,693,0.0,0.0,0.0,268,5399,268,85,58,45,-93.0,-25.761772853185594,469.0,9.513184584178491,-93.0,-25.761772853185594,0.0,0.0,0.0,0.0,0.0,0.0,443.37262,62789.0,86.65,58.35,0.0,75.50315499999999,-10817.0,16.900000000000006,13.0,0.0,20.524442005535846,-14.695812841344457,24.229390681003583,28.665931642778396,
Faculty of Economics and Administrative Sciences,2021,765,716,0.0,0.0,0.0,279,6410,279,41,37,27,,,,,,,,,,,,,315.496938,116371.4,61.56,36.18,0.0,-72.47529200000002,-41665.100000000006,-13.840000000000003,-8.494999999999997,0.0,-18.68053597547433,-26.364225985769117,-18.355437665782492,-19.01510912143256,
Faculty of Economics and Administrative Sciences,2022,900,814,98.0,17.647058823529417,13.687150837988838,279,8240,279,35,25,20,0.0,0.0,1830.0,28.549141965678636,0.0,0.0,-6.0,-14.634146341463417,-12.0,-32.432432432432435,-7.0,-25.92592592592593,386.93378666666666,44332.333333333336,57.666666666666664,49.86666666666667,0.0,1.458509999999933,-2744.6666666666642,2.566666666666663,-2.0333333333333314,0.0,0.37836667830222215,-5.83016476552598,4.658197217180882,-3.917790622992934,
Faculty of Economics and Administrative Sciences,2023,968,916,102.0,7.55555555555556,12.53071253071254,394,12295,390,71,43,23,115.0,41.21863799283154,4055.0,49.211165048543684,111.0,39.78494623655915,36.0,102.85714285714285,18.0,72.0,3.0,14.999999999999991,422.3174275,70564.875,79.0875,46.1125,9.0875,17.274732500000027,-16399.75,4.000000000000014,2.237499999999997,0.08750000000000036,4.2649164429443776,-18.857955174302198,5.327118361911132,5.099715099715096,0.9722222222222188
Faculty of Economics and Administrative Sciences,2024,968,916,0.0,0.0,0.0,418,12870,418,71,43,23,24.0,6.091370558375631,575.0,4.6766978446523,28.0,7.179487179487176,0.0,0.0,0.0,0.0,0.0,0.0,461.88610499999993,49991.6,90.85,61.17999999999999,0.0,7.574258999999984,-4082.5999999999985,1.759999999999991,0.789999999999992,0.0,1.667193815588952,-7.549996116447399,1.9755303625547116,1.308163603245549,
Faculty of Education,2021,816,1793,0.0,0.0,0.0,537,9537,537,17,20,13,,,,,,,,,,,,,409.78567250000003,102230.5,81.07499999999999,48.625,0.0,15.149932500000034,-14285.0,2.624999999999986,2.575000000000003,0.0,3.8389661564864896,-12.260171393505582,3.3460803059273347,5.591748099891425,
Faculty of Education,2022,878,1891,98.0,7.59803921568627,5.465699944227542,537,9381,537,24,18,20,0.0,0.0,-156.0,-1.6357345077068208,0.0,0.0,7.0,41.176470588235304,-2.0,-9.999999999999998,7.0,53.846153846153854,403.250064,50677.6,74.42,47.6,0.0,4.224361499999986,-15968.400000000001,1.7199999999999989,-0.02499999999999858,0.0,1.0586690214523076,-23.960027608558654,2.365887207702877,-0.05249343832021136,
Faculty of Education,2023,854,1837,-54.0,-2.733485193621865,-2.8556319407720743,537,8627,537,25,15,22,0.0,0.0,-754.0,-8.037522652169283,0.0,0.0,1.0,4.166666666666674,-3.0,-16.666666666666664,2.0,10.000000000000009,400.9869566666667,67169.44444444444,66.98888888888888,43.611111111111114,8.266666666666667,3.7778144444444592,-7045.4444444444525,1.6666666666666572,-0.3999999999999986,-0.04444444444444251,0.9510894999317232,-9.493303230558714,2.5514543289675062,-0.9088613986367067,-0.53475935828875
Faculty of Education,2024,854,1837,0.0,0.0,0.0,367,7865,367,25,15,22,-170.0,-31.65735567970205,-762.0,-8.8327344383911,-170.0,-31.65735567970205,0.0,0.0,0.0,0.0,0.0,0.0,490.8419783333334,27429.666666666668,98.36666666666667,67.58333333333333,0.0,10.661678333333384,-6418.166666666668,2.200000000000003,1.5166666666666657,0.0,2.2203489675301835,-18.9618242428122,2.2876949740034735,2.2956609485368373,
Faculty of Electrical and Electronics,2021,3146,599,0.0,0.0,0.0,546,8745,546,21,53,25,,,,,,,,,,,,,478.3976666666667,44838.0,93.95,65.43333333333332,0.0,-4.029980000000023,13162.166666666668,-3.4000000000000057,0.19999999999998863,0.0,-0.8353542811746273,41.55270842650811,-3.492552645095026,0.30659172202349705,
Faculty of Electrical and Electronics,2022,3275,783,184.0,4.100445009535925,30.717863105175304,546,11327,546,28,49,28,0.0,0.0,2582.0,29.52544311034877,0.0,0.0,7.0,33.33333333333333,-4.0,-7.547169811320753,3.0,12.00000000000001,457.92755999999997,51328.0,90.2,60.9,0.0,14.554939999999988,-11461.0,3.549999999999997,2.549999999999997,0.0,3.2827782644764936,-18.25319721607288,4.096941719561453,4.370179948586106,
Faculty of Electrical and Electronics,2023,3111,817,34.0,-5.007633587786264,4.342273307790556,556,11099,556,36,46,41,10.0,1.831501831501825,-228.0,-2.01288955592831,10.0,1.831501831501825,8.0,28.57142857142858,-3.0,-6.122448979591832,13.0,46.428571428571416,303.05291,104279.6,61.620000000000005,31.82,0.0,-12.444028000000003,-12091.799999999988,0.060000000000002274,-4.359999999999999,0.0,-3.944262685680966,-10.390697370659796,0.09746588693957392,-12.050856826976231,
Faculty of Electrical and Electronics,2024,3111,817,0.0,0.0,0.0,571,12349,571,36,46,41,15.0,2.6978417266187105,1250.0,11.262275880709982,15.0,2.6978417266187105,0.0,0.0,0.0,0.0,0.0,0.0,403.79007666666666,35326.333333333336,56.63333333333333,54.73333333333333,0.0,16.85629,-9006.0,-1.0333333333333314,4.86666666666666,0.0,4.356375840221283,-20.31474394159266,-1.7919075144508634,9.759358288770038,
Faculty of Mechanical Engineering,2021,2813,693,0.0,0.0,0.0,465,8805,464,49,54,28,,,,,,,,,,,,,417.4531475,56935.0,81.05,43.0875,9.2375,-4.864280000000008,-13629.875,1.9624999999999915,-3.0249999999999986,0.15000000000000036,-1.1518065993144422,-19.31538176748702,2.481428797218266,-6.560043372187585,1.6506189821182904
Faculty of Mechanical Engineering,2022,2873,799,106.0,2.1329541414859543,15.295815295815295,465,11050,465,56,47,37,0.0,0.0,2245.0,25.49687677455992,1.0,0.21551724137931494,7.0,14.28571428571428,-7.0,-12.962962962962965,9.0,32.14285714285714,446.464022,45714.7,92.67,54.970000000000006,0.0,-15.42208299999993,-4276.9000000000015,1.8200000000000074,-6.209999999999987,0.0,-3.3389363379961234,-8.555237279863015,2.0033021463951695,-10.1503759398496,
Faculty of Mechanical Engineering,2023,2656,803,4.0,-7.553080403759138,0.5006257822277815,466,10268,466,69,53,41,1.0,0.21505376344086446,-782.0,-7.07692307692308,1.0,0.21505376344086446,13.0,23.214285714285722,6.0,12.765957446808507,4.0,10.81081081081081,397.7842075,87867.0,82.275,43.55,0.0,-12.001465000000053,-14363.5,1.200000000000017,-5.075000000000003,0.0,-2.92871757247688,-14.05011224634527,1.4801110083256352,-10.437017994858621,
Faculty of Mechanical Engineering,2024,2656,803,0.0,0.0,0.0,491,10095,491,69,53,41,25.0,5.364806866952798,-173.0,-1.6848461238800128,25.0,5.364806866952798,0.0,0.0,0.0,0.0,0.0,0.0,410.335706,31689.4,78.53999999999999,48.980000000000004,0.0,7.085642000000007,-18988.199999999997,4.11999999999999,1.3800000000000026,0.0,1.7571335090972307,-37.468625191406055,5.5361461972587955,2.899159663865558,
Faculty of Naval Architecture and Maritime,2021,980,71,0.0,0.0,0.0,154,1744,154,14,18,7,,,,,,,,,,,,,394.75112888888884,67349.22222222222,66.82222222222222,40.56666666666667,8.255555555555555,-6.235827777777843,179.777777777781,-0.1666666666666572,-3.0444444444444443,-0.011111111111112848,-1.5551198546743694,0.2676481535089481,-0.24879747885220294,-6.98089171974522,-0.13440860215055972
Faculty of Naval Architecture and Maritime,2022,1025,102,31.0,4.591836734693877,43.66197183098593,154,2385,154,15,14,9,0.0,0.0,641.0,36.75458715596329,0.0,0.0,1.0,7.14285714285714,-4.0,-22.22222222222222,2.0,28.57142857142858,478.1910866666667,23836.166666666668,99.85000000000001,62.25,0.0,-12.650891666666666,-3593.5,1.4833333333333343,-5.333333333333329,0.0,-2.5773858441413444,-13.100778961951177,1.507963402236534,-7.891491985203447,
Faculty of Naval Architecture and Maritime,2023,939,111,9.0,-8.390243902439021,8.823529411764696,154,2565,154,15,11,13,0.0,0.0,180.0,7.547169811320753,0.0,0.0,0.0,0.0,-3.0,-21.42857142857143,4.0,44.44444444444444,463.25215333333335,41403.166666666664,93.51666666666667,59.699999999999996,0.0,-15.145513333333326,-3434.8333333333358,-0.4333333333333371,-5.733333333333327,0.0,-3.165883612866005,-7.660540910239833,-0.4612382472946597,-8.762098828323984,
Faculty of Naval Architecture and Maritime,2024,939,111,0.0,0.0,0.0,165,3299,165,15,11,13,11.0,7.14285714285714,734.0,28.615984405458093,11.0,7.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,445.246355,42638.5,92.30000000000001,54.95,0.0,-12.681204999999977,-8689.5,2.1000000000000085,-5.949999999999996,0.0,-2.7692600550183077,-16.9293562967581,2.32815964523283,-9.770114942528728,
